CASRN	Uterotrophic LEL	PhysChem Properties fu	PhysChem Properties MW, Molecular Weight	PhysChem Properties CLint	PhysChem Properties MP	PhysChem Properties pKa_ionization	PhysChem Properties LogD, pH 7.4
61-82-5	NA	0.947735543496244	84.043596128	1.12812362455395	152.444668620439	1.0	-1.02070713109164
37482-11-4	NA	0.669942967274291	78.013935812	1.13879051014157	18.7865184521734	1.0	-0.38142896985541
79-20-9	NA	0.987568302840206	74.036779432	1.13683970751245	-90.7223974318379	0.0	0.146519242353523
1897-45-6	NA	0.00410609527800188	263.88155872	1.29496651032276	238.999012510506	1.0	2.52867183034418
84-66-2	NA	0.216182786771135	222.089208928	1.45674910457363	9.16972872830891	0.0	2.36526238238532
65277-42-1	NA	0.0627834006046391	530.148760736001	1.30308622590648	145.414539509251	1.0	3.85064087804195
108-90-7	NA	0.214235162033005	112.00797784	1.06508146241504	-28.0837700464138	0.0	2.83264142727058
72-43-5	68.5	0.00404518010933215	344.01376276	2.0553970024702	84.6363078441074	0.0	5.09323632528772
62-76-0	NA	0.986162231797688	89.995308544	1.2129441728734	141.553417765373	1.0	-7.63962741056189
501-36-0	NA	0.0875024775308927	228.078644244	-0.0388208067983482	246.191327269571	1.0	3.30676266825836
51-18-3	NA	0.43647039492707	204.112344384	-0.355657041102038	100.441362517426	1.0	1.42903272551678
93-99-2	NA	0.029050729698348	198.06807956	-0.985390433631735	62.7962982967678	0.0	3.47090295645155
471-34-1	NA	0.876605260517889	62.000393924	1.27508840626517	126.532390236988	1.0	-6.81921997595059
50471-44-8	NA	0.533480239595192	284.995948508	1.24041308649822	109.936301381589	1.0	3.21205050380598
104-75-6	NA	0.610263720011027	129.151749608	0.655394471642626	-43.3835255905871	1.0	-0.493410984519114
53-70-3	NA	0.128507642223289	278.109550448	0.818833038569654	271.5	0.0	6.77524077742728
3380-34-5	7.5	0.0211077953669716	287.951162504	1.49790794205914	68.9957914306054	1.0	4.92360645368632
107-93-7	NA	0.916502874040141	86.036779432	1.26366806670169	47.1524711923666	1.0	-1.84118823024942
797-63-7	20.0	0.0412414050260315	312.208930136001	1.54113908029025	213.416034138667	1.0	3.0663094318324
82640-04-8	0.5	0.032642737882725	473.166079344001	1.12623076922134	196.654285666095	1.0	4.74412085874542
97-00-7	NA	0.0324706066615466	201.978134256	1.27649993981103	64.2680485490013	1.0	1.09044296253534
5153-25-3	200.0	0.0169748053087492	250.156894564	1.08869781358425	64.8531955824409	1.0	4.01789261391105
143-07-7	NA	0.135025605611015	200.177630008	-3.60791966284433	41.0447889103573	1.0	2.38610651553851
60168-88-9	NA	0.0427189801351619	330.032668364	0.440471555279272	119.046035334043	1.0	3.24014065365083
113-48-4	NA	0.0187743364531289	275.188529040001	1.25768280009912	69.6914315369285	1.0	3.58124297987965
137-16-6	NA	0.147540382855176	271.214743788	-4.58385320749115	28.4896168780945	2.0	1.79905242271129
68-23-5	NA	0.101914844614222	298.193280072001	1.33265625281686	190.826731809854	1.0	2.86079898499991
5975-78-0	0.18	0.0375285630940968	320.162373868001	1.35254663507275	150.772904079205	1.0	3.2196768422505
5392-28-9	NA	0.913787655588054	140.081044256	-5.00162534713766	265.116194949318	1.0	-1.49553082527528
65558-69-2	NA	0.334133012078062	195.079647288	0.943597277747553	211.588652139918	1.0	-0.8763927357025
520-18-3	NA	0.0104222116030288	286.04773804	1.43405216297129	259.994467001783	1.0	0.552252420514044
107-21-1	NA	0.960518094892472	62.036779432	1.14173263529175	-13.7504282492978	1.0	-1.34281769136371
57-63-6	5.373035714285719E-4	0.0267755237378738	296.177630008001	1.05028538669794	188.466936716882	1.0	3.66687557150716
65-04-3	NA	0.374056718610674	302.224580200001	1.36679047012944	155.456216765681	1.0	3.56282252793221
101-86-0	NA	0.0117805793897513	216.15141526	0.860002619167294	43.721192800825	0.0	3.98929303590688
141-43-5	NA	0.936550900701908	61.052763844	1.14184184107109	10.3152071558637	1.0	-3.52284067275884
106-31-0	NA	0.212908648510589	158.094294308	-1.08300750922939	-64.2369211790369	0.0	1.52682183785191
104-40-5	133.0	0.0115015166788502	220.182715388	-0.217139135185038	51.882530049788	1.0	5.68626004707405
3398-33-2	NA	0.198179694516982	184.14632988	-2.70286277405189	70.3086066226633	1.0	1.67133654838184
594-61-6	NA	0.988973539564413	104.047344116	1.26478914845059	69.6724905897299	1.0	-3.54184044463369
2312-35-8	NA	0.113717397484952	350.155180312001	-0.964922318255738	175.305706247822	0.0	4.8820000858581
6385-62-2	NA	0.57493463486697	184.100048384	-0.41521483877257	267.143510692616	1.0	1.0525831842381
105-34-0	NA	0.937613243261296	99.0320284	1.13962776311891	-19.1955970566401	1.0	-0.821849097965797
103-85-5	NA	0.548795505937635	152.040819256	0.654894130607267	161.630200503803	1.0	0.919816138067391
111-87-5	NA	0.241244484759401	130.135765196	1.56082297151045	-22.4826271651947	1.0	2.99255206330355
62-73-7	NA	0.514633427607082	219.945900694	-0.49093925159783	-51.138239792682	0.0	1.38463563137694
52315-07-8	NA	0.0140204335896576	415.074198828001	0.784188513337896	84.7754266944348	1.0	5.54459372567196
3446-89-7	NA	0.165914451614271	152.029585876	1.15728623435053	78.5345688938733	0.0	2.43036749217534
10605-21-7	NA	0.432949416933233	191.069476528	1.18213530480731	170.494201581993	2.0	-0.367347872904122
57837-19-1	NA	0.679426985014034	279.147058152001	0.21816931589816	67.2922547758874	1.0	1.76598515743481
51218-45-2	NA	0.167997386590063	283.133906624001	1.40559306390846	-8.1896416323408	1.0	3.23152281382548
2664-55-3	NA	0.183058849558968	198.161979944	1.36538275221119	-46.1883731584295	0.0	4.23521161861565
56-55-3	1.0	0.0123856399954853	228.093900384	1.19675770760188	216.836381742936	0.0	5.75899401640732
479-13-0	NA	0.0269162041431581	268.037173356	1.49149266205635	259.317630680707	1.0	3.22886355446928
101-83-7	NA	0.307800538463243	181.183049736	0.36563722438687	-0.14741557358686	1.0	0.914272449492933
319-85-7	3.0	0.0642398114336842	287.860066272	1.13741938467044	76.7529017135049	0.0	3.66037742670346
97-53-0	NA	0.156187176556255	164.083729624	1.81655386336665	-0.143535703665064	1.0	2.39584976424164
109-99-9	NA	0.87236674399863	72.057514876	1.13565182621156	-105.519854987824	0.0	0.550325569507667
52918-63-5	NA	0.010475969735376	502.973167668	0.75875800856952	96.1409653375533	1.0	4.22790210251828
63-05-8	NA	0.180083230417537	286.193280072001	1.45217926572923	146.248095739035	0.0	2.87315995875429
16752-77-5	NA	0.571477613055836	162.04629856	0.899759451159111	77.3302966450169	1.0	0.581327316293263
623-39-2	NA	0.967913410389536	106.06299418	-5.55930826933133	-29.4944176667185	1.0	-1.11840097044604
57-85-2	NA	0.473698644563648	344.235144884001	1.39145015389607	125.219812707899	0.0	4.26368646370491
20830-75-5	NA	0.628398543655511	780.429606728002	-6.4945726642431	222.649339524303	1.0	1.40120035723604
80-46-6	200.516681125	0.0117873789582812	164.120115132	1.27219472407657	75.5857194841522	1.0	3.54680338773616
32809-16-8	NA	0.185825157498233	283.016683952	-0.143104399426682	155.189898933318	1.0	3.14965947728982
55-56-1	NA	0.526335452096437	504.203196320001	1.17543655789452	143.944886506078	1.0	0.161467584453375
103-63-9	NA	0.381611197102376	183.988762388	-0.336910760537432	-29.1705272441588	0.0	3.11802210616806
120-47-8	180.0	0.117137857704708	166.06299418	1.70072905505412	102.893114673238	1.0	2.23513521981223
501-53-1	NA	0.057424412727471	170.013457144	-0.612751595735553	41.2920016054552	0.0	1.66182044904326
80-62-6	NA	0.907353323321893	100.052429496	1.12223654922663	-68.2544383818347	0.0	1.1884373011392
42422-68-4	0.06	0.18233572155402	322.178023932001	1.40426211745448	110.526272364691	1.0	3.30760994236458
104-54-1	NA	0.203865301504565	134.07316494	0.85314654084785	30.5013028146676	1.0	1.87230939721581
52-86-8	NA	0.130939898917408	375.140134876001	0.389671129688612	149.626698504939	1.0	1.70924360416133
